"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XIXXW8P7","journalArticle","2015","Abhari, Kamyar; Baxter, John S. H.; Khan, Ali R.; Peters, Terry M.; Ribaupierre, Sandrine De; Eagleson, Roy","Visual Enhancement of MR Angiography Images to Facilitate Planning of Arteriovenous Malformation Interventions","ACM Transactions on Applied Perception","","1544-3558","10.1145/2701425","https://doi.org/10.1145/2701425","The primary purpose of medical image visualization is to improve patient outcomes by facilitating the inspection, analysis, and interpretation of patient data. This is only possible if the users’ perceptual and cognitive limitations are taken into account during every step of design, implementation, and evaluation of interactive displays. Visualization of medical images, if executed effectively and efficiently, can empower physicians to explore patient data rapidly and accurately with minimal cognitive effort. This article describes a specific case study in biomedical visualization system design and evaluation, which is the visualization of MR angiography images for planning arteriovenous malformation (AVM) interventions. The success of an AVM intervention greatly depends on the surgeon gaining a full understanding of the anatomy of the malformation and its surrounding structures. Accordingly, the purpose of this study was to investigate the usability of visualization modalities involving contour enhancement and stereopsis in the identification and localization of vascular structures using objective user studies. Our preliminary results indicate that contour enhancement, particularly when combined with stereopsis, results in improved performance enhancement of the perception of connectivity and relative depth between different structures.","2015-03-17","2021-06-14 02:37:02","2021-06-14 02:37:02","2021-06-14 02:36:31","4:1–4:15","","1","12","","ACM Trans. Appl. Percept.","","","","","","","","","","","","","March 2015","","","","","","","arteriovenous malformation; cel shading; contour enhancement; MR angiography; stereopsis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D5Y4LAI6","journalArticle","2020","Xiao, Qiu; Luo, Jiawei; Liang, Cheng; Li, Guanghui; Cai, Jie; Ding, Pingjian; Liu, Ying","Identifying lncRNA and mRNA Co-Expression Modules from Matched Expression Data in Ovarian Cancer","IEEE/ACM Transactions on Computational Biology and Bioinformatics","","1545-5963","10.1109/TCBB.2018.2864129","https://doi.org/10.1109/TCBB.2018.2864129","Long non-coding RNAs (lncRNAs) have been shown to be involved in multiple biological processes and play critical roles in tumorigenesis. Numerous lncRNAs have been discovered in diverse species, but the functions of most lncRNAs still remain unclear. Meanwhile, their expression patterns and regulation mechanisms are also far from being fully understood. With the advances of high-throughput technologies, the increasing availability of genomic data creates opportunities for deciphering the molecular mechanism and underlying pathogenesis of human diseases. Here, we develop an integrative framework called JONMF to identify lncRNA-mRNA co-expression modules based on the sample-matched lncRNA and mRNA expression profiles. We formulate the module detection task as an optimization problem with joint orthogonal non-negative matrix factorization that could effectively prevent multicollinearity and produce a good modularity interpretation. The constructed lncRNA-mRNA co-expression network and the gene-gene interaction network are used as the network-regularized constraints to improve the module accuracy, while the sparsity constraints are simultaneously utilized to achieve modular sparse solutions. We applied JONMF to human ovarian cancer dataset and the experiment results demonstrate that the proposed method can effectively discover biologically functional co-expression modules, which may provide insights into the function of lncRNAs and molecular mechanism of human diseases.","2020-03-01","2021-06-14 02:37:02","2021-06-14 02:37:02","2021-06-14 02:36:33","623–634","","2","17","","IEEE/ACM Trans. Comput. Biol. Bioinformatics","","","","","","","","","","","","","March-April 2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8APFR8F5","journalArticle","2019","Raffaillac, Thibault; Huot, Stéphane","Polyphony: Programming Interfaces and Interactions with the Entity-Component-System Model","Proceedings of the ACM on Human-Computer Interaction","","","10.1145/3331150","https://doi.org/10.1145/3331150","This paper introduces a new Graphical User Interface (GUI) and Interaction framework based on the Entity-Component-System model (ECS). In this model, interactive elements (Entities) are characterized only by their data (Components). Behaviors are managed by continuously running processes (Systems) which select entities by the Components they possess. This model facilitates the handling of behaviors and promotes their reuse. It provides developers with a simple yet powerful composition pattern to build new interactive elements with Components. It materializes interaction devices as Entities and interaction techniques as a sequence of Systems operating on them. We present Polyphony, an experimental toolkit implementing this approach, and discuss our interpretation of the ECS model in the context of GUIs programming.","2019-06-13","2021-06-14 02:37:02","2021-06-14 02:37:02","2021-06-14 02:36:34","8:1–8:22","","EICS","3","","Proc. ACM Hum.-Comput. Interact.","Polyphony","","","","","","","","","","","","June 2019","","","","C:\Users\Asus\Zotero\storage\QYPYT577\Raffaillac and Huot - 2019 - Polyphony Programming Interfaces and Interactions.pdf","","","ECS; entity-component-system; GUI; interaction programming; user interface toolkit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XDH7PD3","journalArticle","2018","Mikalsen, Marius; Monteiro, Eric","Data Handling in Knowledge Infrastructures: A Case Study from Oil Exploration","Proceedings of the ACM on Human-Computer Interaction","","","10.1145/3274392","https://doi.org/10.1145/3274392","Offshore oil exploration is concerned with subsea geological reservoirs that are numerous kilometers below the seabed. These reservoirs are knowable only through a knowledge infrastructure of interconnected technologies that are applied to diverse instrument-generated data. Noise, holes, and inaccuracies are inherent in the data, which depend on the technology producing it. We conducted an interpretative case study of data handling work in the exploration unit of a European oil company. Our findings show how data handling involves the skills needed for managing data identities and ownership, a variety of technologies, and contingent negotiations of data needs. We use the notion of repair to analyze this data handling work and discuss how the concept of repair in data handling involves keeping the knowledge infrastructure navigable and attending to countless details. Our research contributes to the literature on repairing infrastructures by considering how repair relates to data work.","2018-11-01","2021-06-14 02:37:02","2021-06-14 02:37:02","2021-06-14 02:36:34","123:1–123:16","","CSCW","2","","Proc. ACM Hum.-Comput. Interact.","Data Handling in Knowledge Infrastructures","","","","","","","","","","","","November 2018","","","","C:\Users\Asus\Zotero\storage\IF4Q78KZ\Mikalsen and Monteiro - 2018 - Data Handling in Knowledge Infrastructures A Case.pdf","","","data handling; empirical case study; knowledge infrastructure; repair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STZK3JRX","journalArticle","2017","Kacorri, Hernisa; Huenerfauth, Matt; Ebling, Sarah; Patel, Kasmira; Menzies, Kellie; Willard, Mackenzie","Regression Analysis of Demographic and Technology-Experience Factors Influencing Acceptance of Sign Language Animation","ACM Transactions on Accessible Computing","","1936-7228","10.1145/3046787","https://doi.org/10.1145/3046787","Software for automating the creation of linguistically accurate and natural-looking animations of American Sign Language (ASL) could increase information accessibility for many people who are deaf. As compared to recording and updating videos of human ASL signers, technology for automatically producing animation from an easy-to-update script would make maintaining ASL content on websites more efficient. Most sign language animation researchers evaluate their systems by collecting subjective judgments and comprehension-question responses from deaf participants. Through a survey (N = 62) and multiple-regression analysis, we identified relationships between (a) demographic and technology-experience characteristics of participants and (b) the subjective and objective scores collected from them during the evaluation of sign language animation systems. These relationships were experimentally verified in a subsequent user study with 57 participants, which demonstrated that specific subpopulations have higher comprehension or subjective scores when viewing sign language animations in an evaluation study. This finding indicates that researchers should collect and report a set of specific characteristics about participants in any publications describing evaluation studies of their technology, a practice that is not yet currently standard among researchers working in this field. In addition to investigating this relationship between participant characteristics and study results, we have also released our survey questions in ASL and English that can be used to measure these participant characteristics, to encourage reporting of such data in future studies. Such reporting would enable researchers in the field to better interpret and compare results between studies with different participant pools.","2017-04-04","2021-06-14 02:37:02","2021-06-14 02:37:02","2021-06-14 02:36:36","3:1–3:33","","1","10","","ACM Trans. Access. Comput.","","","","","","","","","","","","","April 2017","","","","C:\Users\Asus\Zotero\storage\5L9CM4F4\Kacorri et al. - 2017 - Regression Analysis of Demographic and Technology-.pdf","","","Accessibility technology for people who are deaf; American Sign Language; animation; user study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGHWBVAX","journalArticle","2020","Chowdhury, Hussain Ahmed; Bhattacharyya, Dhruba Kumar; Kalita, Jugal Kumar","(Differential) Co-Expression Analysis of Gene Expression: A Survey of Best Practices","IEEE/ACM Transactions on Computational Biology and Bioinformatics","","1545-5963","10.1109/TCBB.2019.2893170","https://doi.org/10.1109/TCBB.2019.2893170","Analysis of gene expression data is widely used in transcriptomic studies to understand functions of molecules inside a cell and interactions among molecules. Differential co-expression analysis studies diseases and phenotypic variations by finding modules of genes whose co-expression patterns vary across conditions. We review the best practices in gene expression data analysis in terms of analysis of (differential) co-expression, co-expression network, differential networking, and differential connectivity considering both microarray and RNA-seq data along with comparisons. We highlight hurdles in RNA-seq data analysis using methods developed for microarrays. We include discussion of necessary tools for gene expression analysis throughout the paper. In addition, we shed light on scRNA-seq data analysis by including preprocessing and scRNA-seq in co-expression analysis along with useful tools specific to scRNA-seq. To get insights, biological interpretation and functional profiling is included. Finally, we provide guidelines for the analyst, along with research issues and challenges which should be addressed.","2020-07-01","2021-06-14 02:37:02","2021-06-14 02:37:02","2021-06-14 02:36:37","1154–1173","","4","17","","IEEE/ACM Trans. Comput. Biol. Bioinformatics","(Differential) Co-Expression Analysis of Gene Expression","","","","","","","","","","","","July-Aug. 2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YQ6F2T5Y","journalArticle","2020","Zhou, Xinyi; Jain, Atishay; Phoha, Vir V.; Zafarani, Reza","Fake News Early Detection: A Theory-driven Model","Digital Threats: Research and Practice","","2692-1626","10.1145/3377478","https://doi.org/10.1145/3377478","Massive dissemination of fake news and its potential to erode democracy has increased the demand for accurate fake news detection. Recent advancements in this area have proposed novel techniques that aim to detect fake news by exploring how it propagates on social networks. Nevertheless, to detect fake news at an early stage, i.e., when it is published on a news outlet but not yet spread on social media, one cannot rely on news propagation information as it does not exist. Hence, there is a strong need to develop approaches that can detect fake news by focusing on news content. In this article, a theory-driven model is proposed for fake news detection. The method investigates news content at various levels: lexicon-level, syntax-level, semantic-level, and discourse-level. We represent news at each level, relying on well-established theories in social and forensic psychology. Fake news detection is then conducted within a supervised machine learning framework. As an interdisciplinary research, our work explores potential fake news patterns, enhances the interpretability in fake news feature engineering, and studies the relationships among fake news, deception/disinformation, and clickbaits. Experiments conducted on two real-world datasets indicate the proposed method can outperform the state-of-the-art and enable fake news early detection when there is limited content information.","2020-06-11","2021-06-14 02:37:02","2021-06-14 02:37:02","2021-06-14 02:36:39","12:1–12:25","","2","1","","Digital Threats: Research and Practice","Fake News Early Detection","","","","","","","","","","","","July 2020","","","","C:\Users\Asus\Zotero\storage\YR9T9X3K\Zhou et al. - 2020 - Fake News Early Detection A Theory-driven Model.pdf","","","click-bait; disinformation; Fake news; fake news detection; feature engineering; interdisciplinary research; news verification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F84KDQT9","journalArticle","2020","Echavarria, Karina Rodriguez; Samaroudi, Myrsini; Weyrich, Tim","Fracturing Artefacts into 3D Printable Puzzles to Enhance Audience Engagement with Heritage Collections","Journal on Computing and Cultural Heritage","","1556-4673","10.1145/3351343","https://doi.org/10.1145/3351343","Three-dimensional (3D) puzzles of heritage artefacts are typically used to engage audiences in the interpretation of archaeological objects in a museum gallery. The reason for this is that a puzzle can be seen as an enjoyable educational activity in the form of a game but also as a complex activity that archaeologists undertake when re-assembling fragments, for instance, of broken pottery. Until now the creation of this type of experiences is mostly a manual process and the artefacts used rarely reflect those in the collection due to the complex nature of the process. The contribution of this article is a novel digital worfklow for the design and fabrication of 3D puzzles that overcomes these limitations. The input to the workflow is an authentic artefact from a heritage collection, which is then digitised using technologies such as 3D scanning and 3D modelling. Thereafter, a puzzle generator system produces the puzzle pieces using a cell fracture algorithm and generates a set of puzzle pieces (female) and a single core piece (male) for fabrication. Finally, the pieces are fabricated using 3D printing technology and post-processed to facilitate the puzzle assembly. To demonstrate the feasibility of the proposed novel workflow, we deployed it to create a puzzle activity of the Saltdean urn, which is exhibited at the Archaeology Gallery of the Brighton Museum and Art Gallery. The workflow is also used with further artefacts to demonstrate its applicability to other shapes. The significance of this research is that it eases the task of creating puzzle-like activities and maintaining them in the long term within a busy public space such as a museum gallery.","2020-02-15","2021-06-14 02:37:02","2021-06-14 02:37:02","2021-06-14 02:36:40","6:1–6:22","","1","13","","J. Comput. Cult. Herit.","","","","","","","","","","","","","February 2020","","","","C:\Users\Asus\Zotero\storage\G9IVPDS2\Echavarria et al. - 2020 - Fracturing Artefacts into 3D Printable Puzzles to .pdf","","","3D printing; Cultural heritage; educational puzzles; gallery design; hands-on activities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74FYTWSI","journalArticle","2019","Hao, Xiaoke; Yao, Xiaohui; Risacher, Shannon L.; Saykin, Andrew J.; Yu, Jintai; Wang, Huifu; Tan, Lan; Shen, Li; Zhang, Daoqiang","Identifying Candidate Genetic Associations with MRI-Derived AD-Related ROI via Tree-Guided Sparse Learning","IEEE/ACM Transactions on Computational Biology and Bioinformatics","","1545-5963","10.1109/TCBB.2018.2833487","https://doi.org/10.1109/TCBB.2018.2833487","Imaging genetics has attracted significant interests in recent studies. Traditional work has focused on mass-univariate statistical approaches that identify important single nucleotide polymorphisms (SNPs) associated with quantitative traits (QTs) of brain structure or function. More recently, to address the problem of multiple comparison and weak detection, multivariate analysis methods such as the least absolute shrinkage and selection operator (Lasso) are often used to select the most relevant SNPs associated with QTs. However, one problem of Lasso, as well as many other feature selection methods for imaging genetics, is that some useful prior information, e.g., the hierarchical structure among SNPs, are rarely used for designing a more powerful model. In this paper, we propose to identify the associations between candidate genetic features (i.e., SNPs) and magnetic resonance imaging (MRI)-derived measures using a tree-guided sparse learning (TGSL) method. The advantage of our method is that it explicitly models the complex hierarchical structure among the SNPs in the objective function for feature selection. Specifically, motivated by the biological knowledge, the hierarchical structures involving gene groups and linkage disequilibrium (LD) blocks as well as individual SNPs are imposed as a tree-guided regularization term in our TGSL model. Experimental studies on simulation data and the Alzheimer&#x0027;s Disease Neuroimaging Initiative (ADNI) data show that our method not only achieves better predictions than competing methods on the MRI-derived measures of AD-related region of interests (ROIs) (i.e., hippocampus, parahippocampal gyrus, and precuneus), but also identifies sparse SNP patterns at the block level to better guide the biological interpretation.","2019-11-01","2021-06-14 02:37:02","2021-06-14 02:37:02","2021-06-14 02:36:42","1986–1996","","6","16","","IEEE/ACM Trans. Comput. Biol. Bioinformatics","","","","","","","","","","","","","Nov.-Dec. 2019","","","","C:\Users\Asus\Zotero\storage\NTMCX7JR\Hao et al. - 2019 - Identifying Candidate Genetic Associations with MR.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RT4868X","journalArticle","2017","Moffat, Alistair; Bailey, Peter; Scholer, Falk; Thomas, Paul","Incorporating User Expectations and Behavior into the Measurement of Search Effectiveness","ACM Transactions on Information Systems","","1046-8188","10.1145/3052768","https://doi.org/10.1145/3052768","Information retrieval systems aim to help users satisfy information needs. We argue that the goal of the person using the system, and the pattern of behavior that they exhibit as they proceed to attain that goal, should be incorporated into the methods and techniques used to evaluate the effectiveness of IR systems, so that the resulting effectiveness scores have a useful interpretation that corresponds to the users’ search experience. In particular, we investigate the role of search task complexity, and show that it has a direct bearing on the number of relevant answer documents sought by users in response to an information need, suggesting that useful effectiveness metrics must be goal sensitive. We further suggest that user behavior while scanning results listings is affected by the rate at which their goal is being realized, and hence that appropriate effectiveness metrics must be adaptive to the presence (or not) of relevant documents in the ranking. In response to these two observations, we present a new effectiveness metric, INST, that has both of the desired properties: INST employs a parameter T, a direct measure of the user’s search goal that adjusts the top-weightedness of the evaluation score; moreover, as progress towards the target T is made, the modeled user behavior is adapted, to reflect the remaining expectations. INST is experimentally compared to previous effectiveness metrics, including Average Precision (AP), Normalized Discounted Cumulative Gain (NDCG), and Rank-Biased Precision (RBP), demonstrating our claims as to INST’s usefulness. Like RBP, INST is a weighted-precision metric, meaning that each score can be accompanied by a residual that quantifies the extent of the score uncertainty caused by unjudged documents. As part of our experimentation, we use crowd-sourced data and score residuals to demonstrate that a wide range of queries arise for even quite specific information needs, and that these variant queries introduce significant levels of residual uncertainty into typical experimental evaluations. These causes of variability have wide-reaching implications for experiment design, and for the construction of test collections.","2017-06-05","2021-06-14 02:37:02","2021-06-14 02:37:02","2021-06-14 02:36:43","24:1–24:38","","3","35","","ACM Trans. Inf. Syst.","","","","","","","","","","","","","June 2017","","","","","","","effectiveness metric; query; relevance measures; search; test collections; User behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
