Title,Abstract
3D Printing of Human Anatomical Models for Preoperative Surgical Planning,"Rapid Prototyping (RP) is an emerging technology, especially in a Three-Dimensional Printing (3DP) application. 3DP is used in many fields such as aeronautical, automotive, architecture, medical, and many others. 3DP can be effectively used in anatomical education for medical students who are pursuing their undergraduate degrees.It can also be used for pre-operative surgical planning by experts before surgery. Some complex organs of the human body which cannot be seen visible even after dissection of the cadaver can be printed using a 3D printer which provides haptic studies on organs and bones to students. These 3D printed parts can be used in pre-operative planning such as analysis and diagnosis formulation of affected organs. Further, it can be used in explaining the operative procedures to patients which helps them to understand and co-operate with the medical procedures. Therefore, this project aims at 3DP of complex organs and bones for anatomical studies and pre-operative planning procedures. As a first step in the project, some of the human bones were printed and analyzed for its quality."
A Bayesian statistics based investigation of binder hardening’s influence on the effective strength of particulate reinforced metal matrix composites (PRMMC),"In order to understand how hardening of the binder phase in particulate reinforced metal matrix composites (PRMMC) influences the effective strength, we present in this work a numerical framework consisting of the direct method (DM) and statistical models. Using this approach we created a large number of statistically equivalent representative volume element (SERVE) models to represent an exemplary PRMMC material WC-20 Wt.% Co and predicted its effective strengths using DM. After the global strength was calculated from each SERVE sample all derived data are interpreted by Bayesian network and diagnostic testing. By doing so the relationship between material strength and few selected characteristics have been clarified. The study shows the formulated approach as a novel means for investigating how the overall mechanical properties of random heterogeneous materials react to a certain constituent. Meanwhile, the study also demonstrates how statistical models, in particular the Bayesian network, can be used as a powerful supplement to micromechanical models for result analysis and knowledge discovery."
A big - data classification tree for decision support system in the detection of dilated cardiomyopathy using heart rate variability,"Dilated cardiomyopathy (DCM) is a heart muscle disease characterized by left ventricular (LV) or biventricular dilatation and systolic dysfunction in the absence of either pressure or volume overload or coronary artery disease sufficient to explain the dysfunction. The use of heart rate variability (HRV) analysis as well as of some machine learning algorithms, proved to be a valuable support in the diagnosis of cardiovascular disease. However, till now, only single beats or electrocardiogram segments of subjects affected by DCM were identified using machine learning techniques applied to HRV parameters. In this study, we used linear and non-linear HRV parameters and some clinical parameters (age, sex and left ventricular ejection fraction) evaluated on a large cohort of 972 subjects to early identify subjects suffered from DCM and to find which features could be selected as predictors for a correct diagnosis. By using principal component analysis and stepwise regression, we reduced the original parameters used as inputs for a series of classification and regression trees (CART). The highest accuracy of 97% and Area Under the Curve (AUC) of 95% were achieved using the ratio between low frequency and high frequency (LF/HF), sex and left ventricular ejection fraction (LVEF) parameters as inputs of the classifier."
A boundary vorticity diagnosis of the flows in a model pump-turbine in turbine mode,"In the present study, the internal flow field in a model pump-turbine operating in turbine mode was numerically studied. By recognizing that appearance of boundary vorticity flux (BVF)’s peaks might act as the precursors of flow separation in turbomachines, flow diagnosis based on the boundary vorticity dynamics was then performed. It was shown that the effect of the BVF distribution at the condition in design operating zone is to weaken the axial vorticity component ωz, as well as to enhance the radial and circumferential vorticity components ωr and ωθ. Thus, the peaks of the axial BVF component σz led to the strong weakening of ωz, which is responsible for the flow separations. Geometric optimization for the runner was then achieved by modifying the inlet angle of the blade from 14° to 16°. The optimization successfully suppressed the occurrence of the flow separations and improved the moment on the runner at design operating condition by 4%, which was achieved by the redistribution of the axial BVF component generated by pressure σpz on the pressure side. The fact that only an accurate steady simulation is required for the analysis indicates the great potential application of this method in engineering practice."
A case-based ensemble learning system for explainable breast cancer recurrence prediction,"Significant progress has been achieved in recent years in the application of artificial intelligence (AI) for medical decision support. However, many AI-based systems often only provide a final prediction to the doctor without an explanation of its underlying decision-making process. In scenarios concerning deadly diseases, such as breast cancer, a doctor adopting an auxiliary prediction is taking big risks, as a bad decision can have very harmful consequences for the patient. We propose an auxiliary decision support system that combines ensemble learning with case-based reasoning to help doctors improve the accuracy of breast cancer recurrence prediction. The system provides a case-based interpretation of its prediction, which is easier for doctors to understand, helping them assess the reliability of the system’s prediction and make their decisions accordingly. Our application and evaluation in a case study focusing on breast cancer recurrence prediction shows that the proposed system not only provides reasonably accurate predictions but is also well-received by oncologists."
A CBR framework with gradient boosting based feature selection for lung cancer subtype classification,"Molecular subtype classification represents a challenging field in lung cancer diagnosis. Although different methods have been proposed for biomarker selection, efficient discrimination between adenocarcinoma and squamous cell carcinoma in clinical practice presents several difficulties, especially when the latter is poorly differentiated. This is an area of growing importance, since certain treatments and other medical decisions are based on molecular and histological features. An urgent need exists for a system and a set of biomarkers that provide an accurate diagnosis. In this paper, a novel Case Based Reasoning framework with gradient boosting based feature selection is proposed and applied to the task of squamous cell carcinoma and adenocarcinoma discrimination, aiming to provide accurate diagnosis with a reduced set of genes. The proposed method was trained and evaluated on two independent datasets to validate its generalization capability. Furthermore, it achieved accuracy rates greater than those of traditional microarray analysis techniques, incorporating the advantages inherent to the Case Based Reasoning methodology (e.g. learning over time, adaptability, interpretability of solutions, etc.)."
A cell interaction phenomenon in a multi-cell stack under one cell suffering fuel starvation,"Cell interaction is the main factor resulting in a shorter lifespan for multi-cell stacks than for a single fuel cell stack. To explain this mechanism, we propose a cell interaction phenomenon in which one cell experiences fuel starvation. A specific voltage distribution along the straight channel direction has been observed with an innovative multipoint monitoring method. This phenomenon also can be used for fuel starvation diagnosis. This study proposes an ingenious simplified two-chamber model to analyze the current and voltage redistribution mechanism under fuel starvation. The reliability of this model has been validated in this paper. The model shows that current convergence resulted by fuel starvation in one cell can lead to a concomitant local current convergence in nearby normal cells. Based on our calculation, >85% of reaction current concentrates in the anode inlet region of the fuel-starved cell, resulting in a 70% current convergence in the two adjacent normal cells. A serious corrosion of the fuel-starved cell is observed in the post-mortem study. The faulty cell presents a 5° contact angle decrease and a 28% ECSA loss. Scanning electron microscopy and Transmission electron microscopy results show that the decline of anode outlet regions’ cathode catalyst layers are more serious. Some optimal strategies have been proposed to solve this problem."
A clinical decision-making mechanism for context-aware and patient-specific remote monitoring systems using the correlations of multiple vital signs,"Background and objectives In home-based context-aware monitoring patient's real-time data of multiple vital signs (e.g. heart rate, blood pressure) are continuously generated from wearable sensors. The changes in such vital parameters are highly correlated. They are also patient-centric and can be either recurrent or can fluctuate. The objective of this study is to develop an intelligent method for personalized monitoring and clinical decision support through early estimation of patient-specific vital sign values, and prediction of anomalies using the interrelation among multiple vital signs. Methods In this paper, multi-label classification algorithms are applied in classifier design to forecast these values and related abnormalities. We proposed a completely new approach of patient-specific vital sign prediction system using their correlations. The developed technique can guide healthcare professionals to make accurate clinical decisions. Moreover, our model can support many patients with various clinical conditions concurrently by utilizing the power of cloud computing technology. The developed method also reduces the rate of false predictions in remote monitoring centres. Results In the experimental settings, the statistical features and correlations of six vital signs are formulated as multi-label classification problem. Eight multi-label classification algorithms along with three fundamental machine learning algorithms are used and tested on a public dataset of 85 patients. Different multi-label classification evaluation measures such as Hamming score, F1-micro average, and accuracy are used for interpreting the prediction performance of patient-specific situation classifications. We achieved 90–95% Hamming score values across 24 classifier combinations for 85 different patients used in our experiment. The results are compared with single-label classifiers and without considering the correlations among the vitals. The comparisons show that multi-label method is the best technique for this problem domain. Conclusions The evaluation results reveal that multi-label classification techniques using the correlations among multiple vitals are effective ways for early estimation of future values of those vitals. In context-aware remote monitoring this process can greatly help the doctors in quick diagnostic decision making."
"A collaborative clinical analysis service based on theory of evidence, fuzzy linguistic sets and prospect theory and its application to craniofacial disorders in infants","Nowadays, it is more and more important to diagnose several kinds of pathologies at their early stage, in order to take the necessary countermeasures before having permanent consequences. Unfortunately, though many pathologies are widespread, there does not exist a unique standardized reference or Gold Standard according to which it is possible to evaluate the patients, mainly when the pathology is in the early stages or is not very noticeable, and the doctor is not sufficiently expert in the problem domain. In this work, we deal with this problem, by envisioning new healthcare services supporting a collaborative clinical analysis of symptoms collected from the patients and forwarded to a group of experts, which are geographically distributed. The experts return back their assessment and diagnosis and the system combines these by means of the Theory of the Evidence, in order to provide a single response. The above services can be easily implemented on top of state-of-the-art distributed computing facilities such as Grids or Clouds, providing a connected environment for medical data distributed over different sites and allowing medical experts to collaborate without being co-located, thereby providing transparent access to data and computing resources. Additionally, such services can provide feedbacks to each expert, in order to improve its own knowledge and experience in the case of divergence between the expert response and the global combined diagnosis in recognizing and classifying the received symptomatic indexes from the patient. We have considered the craniofacial pathologies in infant population as a practical example for better explaining the proposed solution."
"A collaborative computer aided diagnosis (C-CAD) system with eye-tracking, sparse attentional model, and deep learning","Computer aided diagnosis (CAD) tools help radiologists to reduce diagnostic errors such as missing tumors and misdiagnosis. Vision researchers have been analyzing behaviors of radiologists during screening to understand how and why they miss tumors or misdiagnose. In this regard, eye-trackers have been instrumental in understanding visual search processes of radiologists. However, most relevant studies in this aspect are not compatible with realistic radiology reading rooms. In this study, we aim to develop a paradigm shifting CAD system, called collaborative CAD (C-CAD), that unifies CAD and eye-tracking systems in realistic radiology room settings. We first developed an eye-tracking interface providing radiologists with a real radiology reading room experience. Second, we propose a novel algorithm that unifies eye-tracking data and a CAD system. Specifically, we present a new graph based clustering and sparsification algorithm to transform eye-tracking data (gaze) into a graph model to interpret gaze patterns quantitatively and qualitatively. The proposed C-CAD collaborates with radiologists via eye-tracking technology and helps them to improve their diagnostic decisions. The C-CAD uses radiologists’ search efficiency by processing their gaze patterns. Furthermore, the C-CAD incorporates a deep learning algorithm in a newly designed multi-task learning platform to segment and diagnose suspicious areas simultaneously. The proposed C-CAD system has been tested in a lung cancer screening experiment with multiple radiologists, reading low dose chest CTs. Promising results support the efficiency, accuracy and applicability of the proposed C-CAD system in a real radiology room setting. We have also shown that our framework is generalizable to more complex applications such as prostate cancer screening with multi-parametric magnetic resonance imaging (mp-MRI)."
