"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CTB7WWEQ","journalArticle","2021","Ritto, T. G.; Rochinha, F. A.","A A Digital twin, physics-based model, and machine learning applied to damage detection in structures","Mechanical Systems and Signal Processing","","0888-3270","10.1016/j.ymssp.2021.107614","https://www.sciencedirect.com/science/article/pii/S0888327021000091","This work is interested in digital twins, and the development of a simplified framework for them, in the context of dynamical systems. Digital twin is an ingenious concept that helps on organizing different areas of expertise aiming at supporting engineering decisions related to a specific asset; it articulates computational models, sensors, learning, real time analysis, diagnosis, prognosis, and so on. In this framework, and to leverage its capacity, we explore the integration of physics-based models with machine learning. A digital twin is constructed for a damaged structure, where a discrete physics-based computational model is employed to investigate several damage scenarios. A machine learning classifier, that serves as the digital twin, is trained with data taken from a stochastic computational model. This strategy allows the use of an interpretable model (physics-based) to build a fast digital twin (machine learning) that will be connected to the physical twin to support real time engineering decisions. Different classifiers (quadratic discriminant, support vector machines, etc) are tested, and different model parameters (number of sensors, level of noise, damage intensity, uncertainty, operational parameters, etc) are considered to construct datasets for the training. The accuracy of the digital twin depends on the scenario analyzed. Through the chosen application, we are able to emphasize each step of a digital twin construction, including the possibility of integrating physics-based models with machine learning. The different scenarios explored yield conclusions that might be helpful for a large range of applications.","2021-06-16","2021-06-05 17:27:41","2021-06-15 08:01:43","2021-06-05 17:27:30","107614","","","155","","Mechanical Systems and Signal Processing","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\Asus\Zotero\storage\KAFY6RI9\Ritto and Rochinha - 2021 - A A Digital twin, physics-based model, and machine.pdf","","","Damage identification; Digital twin; Machine learning classifier; Physical based model; Structural dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPR5C7H6","journalArticle","2021","Nissen, Eva Rames; Zachariae, Robert; O'Connor, Maja; Kaldo, Viktor; Jørgensen, Carsten René; Højris, Inger; Borre, Michael; Mehlsen, Mimi","Internet-delivered Mindfulness-Based Cognitive Therapy for anxiety and depression in cancer survivors: Predictors of treatment response","Internet Interventions","","2214-7829","10.1016/j.invent.2021.100365","https://www.sciencedirect.com/science/article/pii/S2214782921000051","Background The present study investigates possible predictors of treatment response in an Internet-delivered Mindfulness-Based Cognitive Therapy (iMBCT) intervention with therapist support. This iMBCT program, a fully online delivered intervention with asynchronous therapist support, has previously been shown to be efficacious in reducing symptoms of anxiety and depression in women treated for breast cancer and men treated for prostate cancer. Methods Eighty-two breast- and prostate cancer survivors experiencing psychological distress received 8 weeks of therapist-guided iMBCT. Primary outcomes were improvement in anxiety and depression scores from baseline to post-treatment and from baseline to six-months follow-up. Clinical predictors included levels of depression and anxiety at the time of screening and at baseline, as well as time since diagnosis. Demographic predictors included age and educational level. Therapy-related predictors included working alliance, self-compassion, and five facets of mindfulness. Mixed Linear Models were employed to test the prediction effects over time. Results Higher levels of baseline depression were associated with increased treatment response in anxiety at post-treatment, and lower levels of self-compassion were associated with increased treatment response in depression at post-treatment. None of the proposed predictors significantly predicted treatment response at six-months follow-up. Conclusion The findings suggest that iMBCT can be provided for cancer survivors regardless of their age, educational level, and time since diagnosis (up to five years) and that therapeutic alliance is not crucial for treatment response. We did not identify characteristics predicting treatment response, although many factors were tested. Still, other characteristics may be predictors, and given the relatively small sample size and a large number of statistical tests, the results should be interpreted with caution.","2021-03-01","2021-06-05 17:27:41","2021-06-05 17:27:41","2021-06-05 17:27:30","100365","","","23","","Internet Interventions","Internet-delivered Mindfulness-Based Cognitive Therapy for anxiety and depression in cancer survivors","","","","","","","en","","","","","ScienceDirect","","","","","","","Breast cancer; Anxiety; Depression; Internet-delivered therapy; Mindfulness-Based Cognitive Therapy; Prostate cancer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLT4EFNF","journalArticle","2021","Doppalapudi, Shreyesh; Qiu, Robin G.; Badr, Youakim","Lung cancer survival period prediction and understanding: Deep learning approaches","International Journal of Medical Informatics","","1386-5056","10.1016/j.ijmedinf.2020.104371","https://www.sciencedirect.com/science/article/pii/S1386505620319079","Introduction Survival period prediction through early diagnosis of cancer has many benefits. It allows both patients and caregivers to plan resources, time and intensity of care to provide the best possible treatment path for the patients. In this paper, by focusing on lung cancer patients, we build several survival prediction models using deep learning techniques to tackle both cancer survival classification and regression problems. We also conduct feature importance analysis to understand how lung cancer patients’ relevant factors impact their survival periods. We contribute to identifying an approach to estimate survivability that are commonly and practically appropriate for medical use. Methodologies We have compared the performance across three of the most popular deep learning architectures - Artificial Neural Networks (ANN), Convolutional Neural Networks (CNN), and Recurrent Neural Networks (RNN) while comparing the performing of deep learning models against traditional machine learning models. The data was obtained from the lung cancer section of Surveillance, Epidemiology, and End Results (SEER) cancer registry. Results The deep learning models outperformed traditional machine learning models across both classification and regression approaches. We obtained a best of 71.18 % accuracy for the classification approach when patients’ survival periods are segmented into classes of ‘<=6 months’,’ 0.5 – 2 years’ and ‘>2 years’ and Root Mean Squared Error (RMSE) of 13.5 % andR2 value of 0.5 for the regression approach for the deep learning models while the traditional machine learning models saturated at 61.12 % classification accuracy and 14.87 % RMSE in regression. Conclusions This approach can be a baseline for early prediction with predictions that can be further improved with more temporal treatment information collected from treated patients. In addition, we evaluated the feature importance to investigate the model interpretability, gaining further insight into the survival analysis models and the factors that are important in cancer survival period prediction.","2021-04-01","2021-06-05 17:27:41","2021-06-05 17:27:41","2021-06-05 17:27:30","104371","","","148","","International Journal of Medical Informatics","Lung cancer survival period prediction and understanding","","","","","","","en","","","","","ScienceDirect","","","","","","","Deep learning; Lung cancer; Feature importance; SEER cancer registry; Survival period prediction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JDWQ6RM","journalArticle","2021","Sai Koushik, S. S.; Srinivasa, K. G.","Detection of respiratory diseases from chest X rays using Nesterov accelerated adaptive moment estimation","Measurement","","0263-2241","10.1016/j.measurement.2021.109153","https://www.sciencedirect.com/science/article/pii/S0263224121001779","Recent developments in the field of machine learning have led to drastic improvements in medical diagnosis. Identification of different medical conditions with high accuracy is possible through machine learning, specifically deep learning. Convolutional Neural Networks are a subset of deep neural networks, used in investigating visual images. In this study, a method to identify bacterial pneumonia, viral pneumonia and COVID-19 from chest X-rays is proposed using convolutional neural networks. Training accuracy of 0.9440 and validation accuracy of 0.9356 was obtained using this model. The test accuracy was found to be 0.8753. As a matter of fact, COVID-19 diagnosing precision and recall of the proposed method are 0.95 and 1.00 respectively. Significant improvements are seen when compared to other approaches.","2021-05-01","2021-06-05 17:27:41","2021-06-05 17:27:41","2021-06-05 17:27:30","109153","","","176","","Measurement","","","","","","","","en","","","","","ScienceDirect","","","","","","","Augmentation; Confusion Matrix; Convolutions; Deep Learning; Neural Networks; Transfer Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVZ4PS24","journalArticle","2021","Zhu, Jiying; Yang, Tianhua; Liu, Rui; Xu, Xiufang; Zhu, Xiaoli","Image recognition of CT diagnosis for cholangiocarcinoma treatment based on FPGA processor and neural network","Microprocessors and Microsystems","","0141-9331","10.1016/j.micpro.2020.103645","https://www.sciencedirect.com/science/article/pii/S0141933120307912","Imaging tests can help doctors identify abnormal internal organs that may indicate cholangiocarcinoma. Diagnostic techniques include Computed Tomography (CT) scan. For selected patients with early-stage bile duct cancer, liver transplantation is a viable treatment option. By optimizing radiotherapy and chemotherapy results before surgery, and tests confirmed by abdominal surgery without metastasis. Biliary tract cancer Cubic Centimeter (CC) is the second most common primary hepatobiliary cancer incidence has been rising. CC imaging characteristics, behavior, and treatment strategies depending on the form and location of the tumor and very different. In the cross-sectional images, the CC may (mass formation, infiltration, and catheter tube circumference) and according to the growth pattern positions (liver, hepatic portal around, extrahepatic/distal) classification. CC poor prognosis, surgery is the only treatment option. Biliary bile duct cancer diagnosis usually involves an emergency from diagnosis to treatment. Fatal cancer is attributable to the portion of the support challenges during treatment therapy. This article provides an overview of the intrahepatic and extrahepatic bile duct, including identifying risk factors, different treatments, symptom relief, and an in-depth understanding of common problems. Such as Neural Networks (NN) and the like have been used to interpret the image and Field-Programmable Gate Array (FPGA) diagnosis of Hepatocellular Carcinoma (HCC) and liver block. NN is a machine learning algorithm similar to the depth of learning. It demonstrated its ability to identify the specific function that can detect pathological lesions. Application of Neural Network to assess liver cancer and liver tumor imaging examination to diagnose cancer and evaluate neural networks' accuracy and performance.","2021-03-01","2021-06-05 17:27:41","2021-06-05 17:27:41","2021-06-05 17:27:30","103645","","","81","","Microprocessors and Microsystems","","","","","","","","en","","","","","ScienceDirect","","","","","","","Image recognition; Computerized tomography (ct); Hepatobiliary Tumor and FPGA; Indicate cholangiocarcinoma; Neural Network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8TNC8BSH","journalArticle","2021","Greifenstein, Max; Dreizler, Andreas","Investigation of mixing processes of effusion cooling air and main flow in a single sector model gas turbine combustor at elevated pressure","International Journal of Heat and Fluid Flow","","0142-727X","10.1016/j.ijheatfluidflow.2020.108768","https://www.sciencedirect.com/science/article/pii/S0142727X20310973","Mixing processes between main flow and effusion cooling air are investigated in an effusion cooled, swirl-stabilized pressurized single sector gas turbine combustor using advanced laser diagnostics. Quantitative planar laser-induced fluorescence of the hydroxyl radical (OH-PLIF) and planar laser-induced fluorescence of nitric oxide, seeded to the effusion cooling air, (NO-PLIF) are employed in the primary zone and close to the effusion cooled liner. This data is used to identify mixing events at three stages of premixed combustion, i.e. mixing before reaction, mixing during reaction and mixing after reaction. A parametric study of swirl and cooling air mass flow is conducted to investigate the mutual interaction between flame and cooling air. Within the primary zone, a significant radial asymmetry of OH concentration is observed. This asymmetry is partly explained by the presence of effusion cooling air within the unburned fresh gas, leading to lowered OH concentration within local reaction zones and their post-flame equilibrium concentration. Near the effusion cooled liner, adiabatic mixing after reaction is the dominant process across all investigated operating conditions. Notable mixing before reaction is only observed for the first effusion hole on the center line at low swirl conditions.","2021-04-01","2021-06-05 17:27:41","2021-06-05 17:27:41","2021-06-05 17:27:30","108768","","","88","","International Journal of Heat and Fluid Flow","","","","","","","","en","","","","","ScienceDirect","","","","","","","Laser diagnostics; Effusion cooling; Flame-cooling air interaction; Gas turbine; NO-LIF; Quantitative OH-LIF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8XLHLYG","journalArticle","2021","Geng, Zhaohui; Bidanda, Bopaya","Geometric precision analysis for Additive Manufacturing processes: A comparative study","Precision Engineering","","0141-6359","10.1016/j.precisioneng.2020.12.022","https://www.sciencedirect.com/science/article/pii/S0141635921000052","Additive Manufacturing (AM) has recently attracted increasing attention among manufacturing industries. This class of technologies is capable of creating parts with complex shapes and intricate structures. However, the poor geometric quality of the parts they produced is a major constraint in wide industrial adoption. Currently available analytical techniques based on classic measurement equipment could fail in analyzing the process parameters based on AM-created parts because of the layer-by-layer fabrication process. In this article, we introduce a novel three-dimensional point-cloud-based analytical toolset, volumetric data analysis (VDA), for AM-oriented metrological and experimental analysis. Each step of the VDA is discussed in detail. A high dimensional hypothesis testing procedure is proposed to compare the geometric precision of the part samples from two printing settings. New visualization tools for deviation diagnostics are presented to aid in interpreting and comparing the process outputs. The proposed methods are illustrated with a real experiment to compare the effects of different layer thicknesses in a filament deposition modeling printing process.","2021-05-01","2021-06-05 17:27:41","2021-06-05 17:27:41","2021-06-05 17:27:30","68-76","","","69","","Precision Engineering","Geometric precision analysis for Additive Manufacturing processes","","","","","","","en","","","","","ScienceDirect","","","","","","","Additive manufacturing; Geometric metrology; High dimension; Hypothesis testing; Volumetric data analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4YT8N7SC","journalArticle","2021","An, Feng-Ping; Liu, Jun-e; Wang, Jian-rong","Medical image segmentation algorithm based on positive scaling invariant-self encoding CCA","Biomedical Signal Processing and Control","","1746-8094","10.1016/j.bspc.2020.102395","https://www.sciencedirect.com/science/article/pii/S1746809420305012","The quality of medical image segmentation results directly affect disease analysis and diagnosis. Although traditional medical image segmentation methods have achieved certain results, this type of method is not only computationally inefficient, but also difficult to achieve fully automatic segmentation. Deep learning has a good generalization ability, which provides a new technical approach to solve the above problems. However, the following problems exist in the application of deep learning in medical image segmentation: (1) Optimization of deep learning models. The parameters of the existing deep learning model have not been well optimized; it is easy to cause wrong medical image segmentation. (2) Overfitting problem. As the number of deep learning model layers increases, it makes the deep model fit the training data easily, but its generalization performance on the test set will be poor. In view of this, in order to solve the problem of deep learning model optimization, this paper first reveals that the weight space of deep learning is not equivalent to its parameter space, and explains in detail how to optimize the deep learning model in a positive scaling invariant space. The method of mapping the derivative of the base path back to the weight, and analyzed the stochastic optimization algorithm in F space. In addition, to solve the overfitting problem of deep learning models, this paper first gives a method of self-encoding Canonical Correlation Analysis (Self-encoding CCA) to optimize both self-coding loss and correlation loss in the fine-tuning stage. Based on the above ideas, this paper proposes a medical image segmentation algorithm based on positive scaling invariant-self encoding CCA. The experimental results show that the index obtained by the method proposed in this paper is not only improved by a large margin compared with traditional machine learning methods, but also improved to a certain extent compared with other deep learning methods.","2021-04-01","2021-06-05 17:27:41","2021-06-05 17:27:41","2021-06-05 17:27:30","102395","","","66","","Biomedical Signal Processing and Control","","","","","","","","en","","","","","ScienceDirect","","","","","","","Deep learning; Image segmentation; Medical image; Parameter Optimization; Positive Scaling Invariance; Self-encoding CCA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHQXWP5H","journalArticle","2021","Dušek, Karel; Bušek, David; Veselý, Petr; Plaček, Martin; Reichl, Tomáš; Sedláček, Josef; Mach, Pavel","Analysis of a failure in a molded package caused by electrochemical migration","Engineering Failure Analysis","","1350-6307","10.1016/j.engfailanal.2020.105128","https://www.sciencedirect.com/science/article/pii/S1350630720316526","Electrical components can fail during their function in an electrical circuit, especially in a harsh environment. One of the possible failure reasons is the electrochemical migration, which leads to a short circuit or change of electrical parameters of components. This paper focuses on electrochemical effects and explains mechanisms leading to the formation of a conductive path within a component molded in a plastic package. Appropriate diagnostic methods - SEM/EDS and penetration tests have been chosen in order to find the root cause for short circuit creation. It was found that the conductive path appeared due to electrochemical migration of silver between the Electrically Conductive Adhesive (ECA) joints connecting the capacitor package. A tiny gap that was found between the molding compound and the leadframe of the package, showed to be the necessary condition for the electrochemical migration to appear. The main aim of this work was not just to identify the cause of an inadvertent conductive path creation, but also to identify the part of the manufacturing process, where similar problems can be prevented.","2021-03-01","2021-06-05 17:27:41","2021-06-05 17:27:41","2021-06-05 17:27:30","105128","","","121","","Engineering Failure Analysis","","","","","","","","en","","","","","ScienceDirect","","","","","","","EDS; Electrically conductive adhesives; Electrochemical migration; Molding; Packaging","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4C5D86U","journalArticle","2021","Sousa, Ana Luísa; Lopes, João; Guimarães, Tiago; Santos, Manuel Filipe","mHealth: Monitoring Platform for Diabetes Patients","Procedia Computer Science","","1877-0509","10.1016/j.procs.2021.03.113","https://www.sciencedirect.com/science/article/pii/S1877050921007584","Diabetes is a metabolic disease that can be explained by the high level of glucose in the blood. Constant monitoring of patients with this type of disease is crucial to the success of their treatment due to the high number of factors that condition it, such as nutrition, exercise and insulin production. This research consists of a software development project based on mHealth practice, which aims to cover all the needs of patients and health professionals, introducing improvements in the prevention, diagnosis and control of endocrine pathology, as well as improvements in hospital management. The web platform should be able to send a warning to the healthcare professional in cases where a patient’s recorded level exceeds normal values and contain all the patient’s records. The aim is to provide support to treatment, monitoring and data collection based on IoT principles, where medical devices allow communication between machines and interaction between them, sharing and managing data. The healthcare professional will have the necessary information to assess the health status of his patient and, if necessary, make some changes to improve the patient’s daily routines.","2021-01-01","2021-06-05 17:27:41","2021-06-05 17:27:41","2021-06-05 17:27:30","911-916","","","184","","Procedia Computer Science","mHealth","The 12th International Conference on Ambient Systems, Networks and Technologies (ANT) / The 4th International Conference on Emerging Data and Industry 4.0 (EDI40) / Affiliated Workshops","","","","","","en","","","","","ScienceDirect","","","","","","","Hospital Management; Web Platform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
