"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RKEZ354C","journalArticle","2021","Hu, Wenxing; Meng, Xianghe; Bai, Yuntong; Zhang, Aiying; Qu, Gang; Cai, Biao; Zhang, Gemeng; Wilson, Tony W.; Stephen, Julia M.; Calhoun, Vince D.; Wang, Yu-Ping","Interpretable Multimodal Fusion Networks Reveal Mechanisms of Brain Cognition","IEEE Transactions on Medical Imaging","","1558-254X","10.1109/TMI.2021.3057635","","The combination of multimodal imaging and genomics provides a more comprehensive way for the study of mental illnesses and brain functions. Deep network-based data fusion models have been developed to capture their complex associations, resulting in improved diagnosis of diseases. However, deep learning models are often difficult to interpret, bringing about challenges for uncovering biological mechanisms using these models. In this work, we develop an interpretable multimodal fusion model to perform automated diagnosis and result interpretation simultaneously. We name it Grad-CAM guided convolutional collaborative learning (gCAM-CCL), which is achieved by combining intermediate feature maps with gradient-based weights. The gCAM-CCL model can generate interpretable activation maps to quantify pixel-level contributions of the input features. Moreover, the estimated activation maps are class-specific, which can therefore facilitate the identification of biomarkers underlying different groups. We validate the gCAM-CCL model on a brain imaging-genetic study, and demonstrate its applications to both the classification of cognitive function groups and the discovery of underlying biological mechanisms. Specifically, our analysis results suggest that during task-fMRI scans, several object recognition related regions of interests (ROIs) are activated followed by several downstream encoding ROIs. In addition, the high cognitive group may have stronger neurotransmission signaling while the low cognitive group may have problems in brain/neuron development due to genetic variations.","2021-05","2021-06-04 18:20:08","2021-06-04 18:20:16","","1474-1483","","5","40","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Medical Imaging","","C:\Users\Asus\Zotero\storage\32RDZ3J2\9349455.html; C:\Users\Asus\Zotero\storage\8WW24FE8\Hu et al. - 2021 - Interpretable Multimodal Fusion Networks Reveal Me.pdf","","","Biological system modeling; Computational modeling; Data models; Diseases; Brain modeling; Feature extraction; brain functional connectivity; CAM; Correlation; Interpretable; multimodal fusion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3LLA8LPJ","journalArticle","2021","Li, Tianfu; Zhao, Zhibin; Sun, Chuang; Cheng, Li; Chen, Xuefeng; Yan, Ruqiang; Gao, Robert X.","A A A WaveletKernelNet: An Interpretable Deep Neural Network for Industrial Intelligent Diagnosis","IEEE Transactions on Systems, Man, and Cybernetics: Systems","","2168-2232","10.1109/TSMC.2020.3048950","","Convolutional neural network (CNN), with the ability of feature learning and nonlinear mapping, has demonstrated its effectiveness in prognostics and health management (PHM). However, an explanation on the physical meaning of a CNN architecture has rarely been studied. In this article, a novel wavelet-driven deep neural network, termed as WaveletKernelNet (WKN), is presented, where a continuous wavelet convolutional (CWConv) layer is designed to replace the first convolutional layer of the standard CNN. This enables the first CWConv layer to discover more meaningful kernels. Furthermore, only the scale parameter and translation parameter are directly learned from raw data at this CWConv layer. This provides a very effective way to obtain a customized kernel bank, specifically tuned for extracting defect-related impact component embedded in the vibration signal. In addition, three experimental studies using data from laboratory environment are carried out to verify the effectiveness of the proposed method for mechanical fault diagnosis. The experimental results show that the accuracy of the WKNs is higher than CNN by more than 10%, which indicate the importance of the designed CWConv layer. Besides, through theoretical analysis and feature map visualization, it is found that the WKNs are interpretable, have fewer parameters, and have the ability to converge faster within the same training epochs.","2021","2021-06-04 18:20:08","2021-06-15 10:56:28","","1-11","","","","","","WaveletKernelNet","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Systems, Man, and Cybernetics: Systems","","C:\Users\Asus\Zotero\storage\TWA3EVF3\9328876.html; C:\Users\Asus\Zotero\storage\B54EDJRB\Li et al. - 2021 - WaveletKernelNet An Interpretable Deep Neural Net.pdf","","","Neural networks; Feature extraction; Prognostics and health management; Fault diagnosis; Kernel; Continuous wavelet convolutional (CWConv) layer; continuous wavelet transform (CWT); Continuous wavelet transforms; Convolution; convolutional neural network (CNN); machine fault diagnosis; prognostic and health management (PHM)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKK96KBH","journalArticle","2021","Jiang, Shancheng; Li, Huichuan; Jin, Zhi","A Visually Interpretable Deep Learning Framework for Histopathological Image-Based Skin Cancer Diagnosis","IEEE Journal of Biomedical and Health Informatics","","2168-2208","10.1109/JBHI.2021.3052044","","Owing to the high incidence rate and the severe impact of skin cancer, the precise diagnosis of malignant skin tumors is a significant goal, especially considering treatment is normally effective if the tumor is detected early. Limited published histopathological image sets and the lack of an intuitive correspondence between the features of lesion areas and a certain type of skin cancer pose a challenge to the establishment of high-quality and interpretable computer-aided diagnostic (CAD) systems. To solve this problem, a light-weight attention mechanism-based deep learning framework, namely, DRANet, is proposed to differentiate 11 types of skin diseases based on a real histopathological image set collected by us during the last 10 years. The CAD system can output not only the name of a certain disease but also a visualized diagnostic report showing possible areas related to the disease. The experimental results demonstrate that the DRANet obtains significantly better performance than baseline models (i.e., InceptionV3, ResNet50, VGG16, and VGG19) with comparable parameter size and competitive accuracy with fewer model parameters. Visualized results produced by the hidden layers of the DRANet actually highlight part of the class-specific regions of diagnostic points and are valuable for decision making in the diagnosis of skin diseases.","2021-05","2021-06-04 18:20:08","2021-06-04 18:20:16","","1483-1494","","5","25","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Journal of Biomedical and Health Informatics","","C:\Users\Asus\Zotero\storage\KGUXTJNJ\9325524.html","","","Solid modeling; Deep learning; Diseases; Attention mechanism; computer-aided diagnostic system; Lesions; model visualization; Skin; Skin cancer; skin histopathological image; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8YYLNHBN","journalArticle","2021","Zhang, Dan; Chen, Yongyi; Guo, Fanghong; Karimi, Hamid Reza; Dong, Hui; Xuan, Qi","A A A New Interpretable Learning Method for Fault Diagnosis of Rolling Bearings","IEEE Transactions on Instrumentation and Measurement","","1557-9662","10.1109/TIM.2020.3043873","","In modern manufacturing processes, requirements for automatic fault diagnosis have been growing increasingly as it plays a vitally important role in the reliability and safety of industrial facilities. Rolling bearing systems represent a critical part in most of the industrial applications. In view of the strong environmental noise in the working environment of rolling bearing, its vibration signals have nonstationary and nonlinear characteristics, and those features are difficult to be extracted. In this article, we proposed a new intelligent fault diagnosis method for rolling bearing with unlabeled data by using the convolutional neural network (CNN) and fuzzy $C$ -means (FCM) clustering algorithm. CNN is first utilized to automatically extract features from rolling bearing vibration signals. Then, the principal component analysis (PCA) technique is used to reduce the dimension of the extracted features, and the first two principal components are selected as the fault feature vectors. Finally, the FCM algorithm is introduced to cluster those rolling bearing data in the derived feature space and identify the different fault types of rolling bearing. The results indicate that the newly proposed fault diagnosis method can achieve higher accuracy than other existing results in the literature.","2021","2021-06-04 18:20:08","2021-06-15 10:50:27","","1-10","","","70","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Instrumentation and Measurement","","C:\Users\Asus\Zotero\storage\VAEHNFAW\9290108.html","","","Neural networks; Deep learning; Feature extraction; Fault diagnosis; Vibrations; Data mining; Convolutional neural network (CNN); fault diagnosis; fuzzy C-means (FCM); principal component analysis (PCA); rolling bearing; Rolling bearings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACFXPLUQ","journalArticle","2021","Liu, Chao; Qin, Chengjin; Shi, Xi; Wang, Zengwei; Zhang, Gang; Han, Yunting","A A A TScatNet: An Interpretable Cross-Domain Intelligent Diagnosis Model With Antinoise and Few-Shot Learning Capability","IEEE Transactions on Instrumentation and Measurement","","1557-9662","10.1109/TIM.2020.3041905","","In a real industrial scenario, domain shift frequently occurred due to working loads variation, operation speeds variation, and environmental noise interference, severely degrading intelligent fault diagnosis models' performance. Currently, domain adaptation-based models eliminate domain shift by calibrating unlabeled target-domain data using labeled source-domain data. Nevertheless, these models may fail when encountering unseen working conditions, lacking unlabeled target-domain data for learning domain-invariant features. Besides, the existing deep domain adaptation-based models lack a few-shot learning capability and interpretability. This article develops a cross-domain diagnosis model named time-scattering convolutional network (TScatNet) to remedy these gaps. TScatNet extracts domain-invariant features using Morlet wavelet as the predefined convolutional kernel, modulus as nonlinearity, and scaling averaging as pooling layer. This predefined architecture eliminates domain shift without any domain adaptation, endows TScatNet few-shot learning capability, simplifies the hyperparameter tuning process, and brings interpretability. Both the CWRU and DDS data sets are used to verify the proposed model, which shows that TScatNet could stably realize 100% accuracy on transfer tasks across working loads and 100% accuracy across operation speeds. Moreover, even though the SNR value descends to -4, TScatNet achieved 96% accuracy on ten categories tasks and 99.8% accuracy on four categories tasks. Besides, TScatNet achieved nearly 100% accuracy both under training samples' sparsity and sparsity of working conditions.","2021","2021-06-04 18:20:08","2021-06-15 10:59:36","","1-10","","","70","","","TScatNet","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Instrumentation and Measurement","","C:\Users\Asus\Zotero\storage\V93UUXRW\9279302.html","","","Task analysis; Data models; Feature extraction; Adaptation models; Antinoise; cross-domain diagnosis; domain shift; few-shot learning; interpretability; Scattering; Transforms; Wavelet transforms; working condition variation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HMUVX2RG","journalArticle","2021","Gu, Ran; Wang, Guotai; Song, Tao; Huang, Rui; Aertsen, Michael; Deprest, Jan; Ourselin, Sébastien; Vercauteren, Tom; Zhang, Shaoting","CA-Net: Comprehensive Attention Convolutional Neural Networks for Explainable Medical Image Segmentation","IEEE Transactions on Medical Imaging","","1558-254X","10.1109/TMI.2020.3035253","","Accurate medical image segmentation is essential for diagnosis and treatment planning of diseases. Convolutional Neural Networks (CNNs) have achieved state-of-the-art performance for automatic medical image segmentation. However, they are still challenged by complicated conditions where the segmentation target has large variations of position, shape and scale, and existing CNNs have a poor explainability that limits their application to clinical decisions. In this work, we make extensive use of multiple attentions in a CNN architecture and propose a comprehensive attention-based CNN (CA-Net) for more accurate and explainable medical image segmentation that is aware of the most important spatial positions, channels and scales at the same time. In particular, we first propose a joint spatial attention module to make the network focus more on the foreground region. Then, a novel channel attention module is proposed to adaptively recalibrate channel-wise feature responses and highlight the most relevant feature channels. Also, we propose a scale attention module implicitly emphasizing the most salient feature maps among multiple scales so that the CNN is adaptive to the size of an object. Extensive experiments on skin lesion segmentation from ISIC 2018 and multi-class segmentation of fetal MRI found that our proposed CA-Net significantly improved the average segmentation Dice score from 87.77% to 92.08% for skin lesion, 84.79% to 87.08% for the placenta and 93.20% to 95.88% for the fetal brain respectively compared with U-Net. It reduced the model size to around 15 times smaller with close or even better accuracy compared with state-of-the-art DeepLabv3+. In addition, it has a much higher explainability than existing networks by visualizing the attention weight maps. Our code is available at https://github.com/HiLab-git/CA-Net.","2021-02","2021-06-04 18:20:08","2021-06-07 17:24:20","","699-711","","2","40","","","CA-Net","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Medical Imaging","","C:\Users\Asus\Zotero\storage\SBPV8KSW\9246575.html; C:\Users\Asus\Zotero\storage\97NN3WMJ\Gu et al. - 2021 - CA-Net Comprehensive Attention Convolutional Neur.pdf","","","Task analysis; Shape; Medical diagnostic imaging; Feature extraction; explainability; Image segmentation; Attention; convolutional neural network; Convolutional neural networks; medical image segmentation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGW7UFTT","journalArticle","2021","Kim, Min Su; Yun, Jong Pil; Park, PooGyeon","A A An Explainable Convolutional Neural Network for Fault Diagnosis in Linear Motion Guide","IEEE Transactions on Industrial Informatics","","1941-0050","10.1109/TII.2020.3012989","","A linear motion (LM) guide is a mechanical tool for requiring linear motion in a system. Repeating linear movements can cause cracking and deterioration of the LM guide, which can lead to a decrease in productivity. Therefore, predicting the status of the LM guide and diagnosing faults are essential for systems including the LM guide. In this article, we propose a novel framework of fault diagnosis model based on deep learning using a vibration sensor signal mounted on the LM guide. This framework contains the learning vibration signal in the time domain using the proposed 1-D convolutional neural network model and the visualization of the classification criteria in the frequency domain using the learned model in the time domain. To utilize the visualization in the frequency domain, the proposed model is designed to maintain the frequency information in the learning process. With the learned model, we propose a frequency domain-based grad-CAM to visualize the classification criteria in the frequency domain to help to explain the characteristics of normal and fault data. Using LM guide data under various conditions, we visualize the classification criteria of the learned model in the frequency domain.","2021-06","2021-06-04 18:20:08","2021-06-15 10:51:27","","4036-4045","","6","17","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Industrial Informatics","","C:\Users\Asus\Zotero\storage\Q3HVFCJM\9153108.html","","","Artificial intelligence; Feature extraction; Machine learning; Mathematical model; Fault diagnosis; visualization; Convolution; fault diagnosis; convolutional neural networks (CNNs); Frequency-domain analysis; linear motion (LM) guide; Time-domain analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EP9YLXFY","journalArticle","2020","Thakoor, Kaveri A.; Koorathota, Sharath C.; Hood, Donald C.; Sajda, Paul","Robust and Interpretable Convolutional Neural Networks to Detect Glaucoma in Optical Coherence Tomography Images","IEEE Transactions on Biomedical Engineering","","1558-2531","10.1109/TBME.2020.3043215","","Recent studies suggest that deep learning systems can now achieve performance on par with medical experts in diagnosis of disease. A prime example is in the field of ophthalmology, where convolutional neural networks (CNNs) have been used to detect retinal and ocular diseases. However, this type of artificial intelligence (AI) has yet to be adopted clinically due to questions regarding robustness of the algorithms to datasets collected at new clinical sites and a lack of explainability of AI-based predictions, especially relative to those of human expert counterparts. In this work, we develop CNN architectures that demonstrate robust detection of glaucoma in optical coherence tomography (OCT) images and test with concept activation vectors (TCAVs) to infer what image concepts CNNs use to generate predictions. Furthermore, we compare TCAV results to eye fixations of clinicians, to identify common decision-making features used by both AI and human experts. We find that employing fine-tuned transfer learning and CNN ensemble learning create end-to-end deep learning models with superior robustness compared to previously reported hybrid deep-learning/machine-learning models, and TCAV/eye-fixation comparison suggests the importance of three OCT report sub-images that are consistent with areas of interest fixated upon by OCT experts to detect glaucoma. The pipeline described here for evaluating CNN robustness and validating interpretable image concepts used by CNNs with eye movements of experts has the potential to help standardize the acceptance of new AI tools for use in the clinic.","2020","2021-06-04 18:20:08","2021-06-07 17:23:48","","1-1","","","","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Biomedical Engineering","","C:\Users\Asus\Zotero\storage\DU7AR887\9286420.html","","","Deep learning; Data models; Feature extraction; Training; Retina; Computer-aided decision support; Eye tracking; Medical expert systems; Optical Coherence Tomography; Robustness; Testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E7TY3624","journalArticle","2020","Ibrahim, Lujain; Mesinovic, Munib; Yang, Kai-Wen; Eid, Mohamad A.","Explainable Prediction of Acute Myocardial Infarction Using Machine Learning and Shapley Values","IEEE Access","","2169-3536","10.1109/ACCESS.2020.3040166","","The early and accurate detection of the onset of acute myocardial infarction (AMI) is imperative for the timely provision of medical intervention and the reduction of its mortality rate. Machine learning techniques have demonstrated great potential in aiding disease diagnosis. In this paper, we present a framework to predict the onset of AMI using 713,447 extracted ECG samples and associated auxiliary data from the longitudinal and comprehensive ECG-ViEW II database, previously unexplored in the field of machine learning in healthcare. The framework is realized with two deep learning models, a convolutional neural network (CNN) and a recurrent neural network (RNN), and a decision-tree based model, XGBoost. Synthetic minority oversampling technique (SMOTE) was utilized to address class imbalance. High prediction accuracy of 89.9%, 84.6%, 97.5% and ROC curve areas of 90.7%, 82.9%, 96.5% have been achieved for the best CNN, RNN, and XGBoost models, respectively. Shapley values were utilized to identify the features that contributed most to the classification decision with XGBoost, demonstrating the high impact of auxiliary inputs such as age and sex. This paper demonstrates the promising application of explainable machine learning in the field of cardiovascular disease prediction.","2020","2021-06-04 18:20:08","2021-06-04 18:20:18","","210410-210417","","","8","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Access","","C:\Users\Asus\Zotero\storage\YWBNG545\Ibrahim et al. - 2020 - Explainable Prediction of Acute Myocardial Infarct.pdf; C:\Users\Asus\Zotero\storage\IDK6SRB2\9268965.html","","","Feature extraction; Machine learning; Predictive models; Training; Databases; predictive models; acute myocardial infarction; biomedical informatics; Electrocardiography; Myocardium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNYAV5RV","journalArticle","2020","Lu, Jiayi; Jin, Renchao; Song, Enmin; Alrashoud, Mubarak; Al-Mutib, Khaled N.; Al-Rakhami, Mabrook S.","An Explainable System for Diagnosis and Prognosis of COVID-19","IEEE Internet of Things Journal","","2327-4662","10.1109/JIOT.2020.3037915","","The outbreak of COVID-19 has posed a threat to world health. With the increasing number of people infected, healthcare systems, especially those in developing countries, are bearing tremendous pressure. There is an urgent need for the diagnosis of COVID-19 and the prognosis of inpatients. To alleviate these problems, a data-driven medical assistance system is put forward in this paper. Based on two real-world datasets in Wuhan, China, the proposed system integrates data from different sources with tools of machine learning (ML) to predict COVID-19 infected probability of suspected patients in their first visit, and then predict mortality of confirmed cases. Rather than choosing an interpretable algorithm, this system separates the explanations from machine learning models. It can do help to patient triaging and provide some useful advice for doctors.","2020","2021-06-04 18:20:08","2021-06-04 18:20:18","","1-1","","","","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Internet of Things Journal","","C:\Users\Asus\Zotero\storage\AGZ764MK\Lu et al. - 2020 - An Explainable System for Diagnosis and Prognosis .pdf; C:\Users\Asus\Zotero\storage\8PIU8ZB3\9259025.html","","","Medical diagnostic imaging; COVID-19; Predictive models; Diagnosis; Internet of Things; Machine Learning; Mathematical model; Monitoring; Prognosis.; Prognostics and health management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
