"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YDT5G7TB","journalArticle","2020","Peng, Grace C. Y.; Alber, Mark; Buganza Tepole, Adrian; Cannon, William R.; De, Suvranu; Dura-Bernal, Savador; Garikipati, Krishna; Karniadakis, George; Lytton, William W.; Perdikaris, Paris; Petzold, Linda; Kuhl, Ellen","Multiscale Modeling Meets Machine Learning: What Can We Learn?","Archives of Computational Methods in Engineering","","1886-1784","10.1007/s11831-020-09405-5","https://doi.org/10.1007/s11831-020-09405-5","Machine learning is increasingly recognized as a promising technology in the biological, biomedical, and behavioral sciences. There can be no argument that this technique is incredibly successful in image recognition with immediate applications in diagnostics including electrophysiology, radiology, or pathology, where we have access to massive amounts of annotated data. However, machine learning often performs poorly in prognosis, especially when dealing with sparse data. This is a field where classical physics-based simulation seems to remain irreplaceable. In this review, we identify areas in the biomedical sciences where machine learning and multiscale modeling can mutually benefit from one another: Machine learning can integrate physics-based knowledge in the form of governing equations, boundary conditions, or constraints to manage ill-posted problems and robustly handle sparse and noisy data; multiscale modeling can integrate machine learning to create surrogate models, identify system dynamics and parameters, analyze sensitivities, and quantify uncertainty to bridge the scales and understand the emergence of function. With a view towards applications in the life sciences, we discuss the state of the art of combining machine learning and multiscale modeling, identify applications and opportunities, raise open questions, and address potential challenges and limitations. We anticipate that it will stimulate discussion within the community of computational mechanics and reach out to other disciplines including mathematics, statistics, computer science, artificial intelligence, biomedicine, systems biology, and precision medicine to join forces towards creating robust and efficient models for biological systems.","2020-02-17","2021-06-07 21:27:37","2021-06-08 18:50:40","2021-06-07 21:27:37","1017-1037","","3","28","","Arch Computat Methods Eng","Multiscale Modeling Meets Machine Learning","","","","","","","en","","","","","Springer Link","","","","C:\Users\Asus\Zotero\storage\XMCI28KH\Peng et al. - 2021 - Multiscale Modeling Meets Machine Learning What C.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5WTGTUCS","journalArticle","2021","dos Santos Gomes, Daiana Caroline; de Oliveira Serra, Ginalber Luiz","Computational Approach For Real-Time Interval Type-2 Fuzzy Kalman Filtering and Forecasting via Unobservable Spectral Components of Experimental Data","Journal of Control, Automation and Electrical Systems","","2195-3899","10.1007/s40313-020-00675-9","https://doi.org/10.1007/s40313-020-00675-9","In this paper, a methodology for design of Kalman filter, using interval type-2 fuzzy systems, in discrete time domain, via spectral decomposition of experimental data, is proposed. The adopted methodology consists of recursive parametric estimation of local state space linear submodels of interval type-2 fuzzy Kalman filter for tracking and forecasting of the dynamics inherited to experimental data, using an interval type-2 fuzzy version of Observer/Kalman Filter Identification (OKID) algorithm. The partitioning of the experimental data is performed by interval type-2 fuzzy Gustafson–Kessel clustering algorithm. The interval Kalman gains in the consequent proposition of interval type-2 fuzzy Kalman filter are updated according to unobservable components computed by recursive spectral decomposition of experimental data. Results illustrate the efficiency of proposed methodology, as compared to other approach widely cited in the literature, for filtering and tracking the state variables of Lorenz’s chaotic attractor in a noisy environment, and its applicability for adaptive and real-time forecasting the dynamic spread behavior of novel coronavirus 2019 (COVID-19) outbreak in state of Maranhão and Brazil.","2021-01-03","2021-06-07 21:27:37","2021-06-08 18:52:12","2021-06-07 21:27:37","326-355","","2","32","","J Control Autom Electr Syst","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Asus\Zotero\storage\NSE49HVM\dos Santos Gomes and de Oliveira Serra - 2021 - Computational Approach For Real-Time Interval Type.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZV9DKP2Z","journalArticle","2020","Nieves Avendano, Diego; Caljouw, Daniel; Deschrijver, Dirk; Van Hoecke, Sofie","Anomaly detection and event mining in cold forming manufacturing processes","The International Journal of Advanced Manufacturing Technology","","1433-3015","10.1007/s00170-020-06156-2","https://doi.org/10.1007/s00170-020-06156-2","Predictive maintenance is one of the main goals within the Industry 4.0 trend. Advances in data-driven techniques offer new opportunities in terms of cost reduction, improved quality control, and increased work safety. This work brings data-driven techniques for two predictive maintenance tasks: anomaly detection and event prediction, applied in the real-world use case of a cold forming manufacturing line for consumer lifestyle products by using acoustic emissions sensors in proximity of the dies of the press module. The proposed models are robust and able to cope with problems such as noise, missing values, and irregular sampling. The detected anomalies are investigated by experts and confirmed to correspond to deviations in the normal operation of the machine. Moreover, we are able to find patterns which are related to the events of interest.","2020-10-10","2021-06-07 21:27:57","2021-06-07 21:27:57","2021-06-07 21:27:56","","","","","","Int J Adv Manuf Technol","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Asus\Zotero\storage\ZN2YGDF2\Nieves Avendano et al. - 2020 - Anomaly detection and event mining in cold forming.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJ64P84L","journalArticle","2021","Saarela, Mirka; Jauhiainen, Susanne","A A Comparison of feature importance measures as explanations for classification models","SN Applied Sciences","","2523-3971","10.1007/s42452-021-04148-9","https://doi.org/10.1007/s42452-021-04148-9","Explainable artificial intelligence is an emerging research direction helping the user or developer of machine learning models understand why models behave the way they do. The most popular explanation technique is feature importance. However, there are several different approaches how feature importances are being measured, most notably global and local. In this study we compare different feature importance measures using both linear (logistic regression with L1 penalization) and non-linear (random forest) methods and local interpretable model-agnostic explanations on top of them. These methods are applied to two datasets from the medical domain, the openly available breast cancer data from the UCI Archive and a recently collected running injury data. Our results show that the most important features differ depending on the technique. We argue that a combination of several explanation techniques could provide more reliable and trustworthy results. In particular, local explanations should be used in the most critical cases such as false negatives.","2021-02-03","2021-06-07 21:27:57","2021-06-15 09:42:05","2021-06-07 21:27:56","272","","2","3","","SN Appl. Sci.","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Asus\Zotero\storage\62B2FD4S\Saarela and Jauhiainen - 2021 - Comparison of feature importance measures as expla.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KUH8VZFS","journalArticle","2019","Sharma, Jivitesh; Giri, Charul; Granmo, Ole-Christoffer; Goodwin, Morten","Multi-layer intrusion detection system with ExtraTrees feature selection, extreme learning machine ensemble, and softmax aggregation","EURASIP Journal on Information Security","","2510-523X","10.1186/s13635-019-0098-y","https://doi.org/10.1186/s13635-019-0098-y","Recent advances in intrusion detection systems based on machine learning have indeed outperformed other techniques, but struggle with detecting multiple classes of attacks with high accuracy. We propose a method that works in three stages. First, the ExtraTrees classifier is used to select relevant features for each type of attack individually for each (ELM). Then, an ensemble of ELMs is used to detect each type of attack separately. Finally, the results of all ELMs are combined using a softmax layer to refine the results and increase the accuracy further. The intuition behind our system is that multi-class classification is quite difficult compared to binary classification. So, we divide the multi-class problem into multiple binary classifications. We test our method on the UNSW and KDDcup99 datasets. The results clearly show that our proposed method is able to outperform all the other methods, with a high margin. Our system is able to achieve 98.24% and 99.76% accuracy for multi-class classification on the UNSW and KDDcup99 datasets, respectively. Additionally, we use the weighted extreme learning machine to alleviate the problem of imbalance in classification of attacks, which further boosts performance. Lastly, we implement the ensemble of ELMs in parallel using GPUs to perform intrusion detection in real time.","2019-10-22","2021-06-07 21:27:57","2021-06-07 21:27:57","2021-06-07 21:27:56","15","","1","2019","","EURASIP J. on Info. Security","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Asus\Zotero\storage\YHJ5IP8F\Sharma et al. - 2019 - Multi-layer intrusion detection system with ExtraT.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PYY6MB38","journalArticle","2020","Fischbach, Andreas; Strohschein, Jan; Bunte, Andreas; Stork, Jörg; Faeskorn-Woyke, Heide; Moriz, Natalia; Bartz-Beielstein, Thomas","CAAI—a cognitive architecture to introduce artificial intelligence in cyber-physical production systems","The International Journal of Advanced Manufacturing Technology","","1433-3015","10.1007/s00170-020-06094-z","https://doi.org/10.1007/s00170-020-06094-z","This paper introduces CAAI, a novel cognitive architecture for artificial intelligence in cyber-physical production systems. The goal of the architecture is to reduce the implementation effort for the usage of artificial intelligence algorithms. The core of the CAAI is a cognitive module that processes the user’s declarative goals, selects suitable models and algorithms, and creates a configuration for the execution of a processing pipeline on a big data platform. Constant observation and evaluation against performance criteria assess the performance of pipelines for many and different use cases. Based on these evaluations, the pipelines are automatically adapted if necessary. The modular design with well-defined interfaces enables the reusability and extensibility of pipeline components. A big data platform implements this modular design supported by technologies such as Docker, Kubernetes, and Kafka for virtualization and orchestration of the individual components and their communication. The implementation of the architecture is evaluated using a real-world use case. The prototypic implementation is accessible on GitHub and contains a demonstration.","2020-11-01","2021-06-07 21:27:57","2021-06-07 21:27:57","2021-06-07 21:27:56","609-626","","1","111","","Int J Adv Manuf Technol","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Asus\Zotero\storage\APYQIT4H\Fischbach et al. - 2020 - CAAI—a cognitive architecture to introduce artific.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RC8B7VH","journalArticle","2019","Mahabub, Atik","A robust voting approach for diabetes prediction using traditional machine learning techniques","SN Applied Sciences","","2523-3971","10.1007/s42452-019-1759-7","https://doi.org/10.1007/s42452-019-1759-7","The noteworthy advances in biotechnology and biomedical sciences have prompted a huge creation of information, for example, high throughput genetic information and clinical data, produced from extensive Electronic Health Records. To this end, utilization of machine learning and data mining techniques in biosciences is by and by crucial and fundamental in endeavors to change cleverly all accessible data into profitable knowledge. Diabetes mellitus is characterized as a gathering of metabolic issue applying critical weight on human health around the world. Broad research in all parts of diabetes (determination, pathophysiology, treatment, and so forth.) has prompted the age of tremendous measures of information. The point of the present examination is to direct an orderly audit of the uses of machine-learning, data mining strategies and instruments in the field of diabetes. The main theme of this work is to provide a system which can prognosticate the diabetes in patients with better accuracy. Here, eleven well-known machine-learning algorithms like Naïve Bayes, K-NN, SVM, Random Forest, Artificial Neural Network, Logistic Regression, Gradient Boosting, Ada Boosting etc. are used for detection of diabetes at an early stage. The evaluations of all the eleven algorithms are examined on various parameters like accuracy, precision, F-measure and recall. After cross-validation and hyper-tuning, the best three machine-learning algorithms are determined and then used in Ensemble Voting Classifier. The experimental results affirm that the pointed framework can accomplish to outstanding outcome of almost 86% accuracy of the Pima Indians Diabetes Database.","2019-11-25","2021-06-07 21:27:57","2021-06-07 21:27:57","2021-06-07 21:27:56","1667","","12","1","","SN Appl. Sci.","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Asus\Zotero\storage\KJFWC38K\Mahabub - 2019 - A robust voting approach for diabetes prediction u.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXE5VPRZ","journalArticle","2020","Ji, Ze; Han, Quanquan","A novel image feature descriptor for SLM spattering pattern classification using a consumable camera","The International Journal of Advanced Manufacturing Technology","","1433-3015","10.1007/s00170-020-05995-3","https://doi.org/10.1007/s00170-020-05995-3","In selective laser melting (SLM), spattering is an important phenomenon that is highly related to the quality of the manufactured parts. Characterisation and monitoring of spattering behaviours are highly valuable in understanding the manufacturing process and improving the manufacturing quality of SLM. This paper introduces a method of automatic visual classification to distinguish spattering characteristics of SLM processes in different manufacturing conditions. A compact feature descriptor is proposed to represent spattering patterns and its effectiveness is evaluated using real images captured in different conditions. The feature descriptor of this work combines information of spatter trajectory morphology, spatial distributions, and temporal information. The classification is performed using support vector machine (SVM) and random forests for testing and shows highly promising classification accuracy of about 97%. The advantages of this work include compactness for representation and semantic interpretability with the feature description. In addition, the qualities of manufacturing parts are mapped with spattering characteristics under different laser energy densities. Such a map table can be then used to define the desired spatter features, providing a non-contact monitoring solution for online anomaly detection. This work will lead to a further integration of real-time vision monitoring system for an online closed-loop prognostic system for SLM systems, in order to improve the performance in terms of manufacturing quality, power consumption, and fault detection.","2020-10-01","2021-06-07 21:27:57","2021-06-07 21:27:57","2021-06-07 21:27:56","2955-2976","","11","110","","Int J Adv Manuf Technol","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Asus\Zotero\storage\EZHM5CY9\Ji and Han - 2020 - A novel image feature descriptor for SLM spatterin.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FL67XRZV","journalArticle","2020","Srivatsan, R.; Indi, Prithviraj N.; Agrahari, Swapnil; Menon, Siddharth; Ashok, S. Denis","Machine learning based prognostic model and mobile application software platform for predicting infection susceptibility of COVID-19 using healthcare data","Research on Biomedical Engineering","","2446-4740","10.1007/s42600-020-00103-6","https://doi.org/10.1007/s42600-020-00103-6","From public health perspectives of COVID-19 pandemic, accurate estimates of infection severity of individuals are extremely valuable for the informed decision-making and targeted response to an emerging pandemic. This paper presents machine learning based prognostic model for providing early warning to the individuals for COVID-19 infection using the healthcare dataset. In the present work, a prognostic model using random forest classifier and support vector regression is developed for predicting the infection susceptibility probability (ISP) score of COVID-19, and it is applied on an open healthcare dataset containing 27 field values. The typical fields of the healthcare dataset include basic personal details such as age, gender, number of children in the household, and marital status along with medical data like coma score, pulmonary score, blood glucose level, HDL cholesterol, etc. An effective preprocessing method is carried out for handling the numerical and categorical values (non-numerical) and missing data in the healthcare dataset. The correlation between the variables in the healthcare data is analyzed using the correlation coefficient, and heat map with a color code is used to identify the influencing factors on the infection susceptibility probability (ISP) score of COVID-19. Based on the accuracy, precision, sensitivity, and F-scores, it is noted that the random forest classifier provides an improved classification performance as compared to support vector regression for the given healthcare dataset. Android-based mobile application software platform is developed using the proposed prognostic approach for enabling the healthy individuals to predict the susceptibility infection score of COVID-19 to take the precautionary measures. Based on the results of the proposed method, clinicians and government officials can focus on the highly susceptible people for limiting the pandemic spread.","2020-11-12","2021-06-07 21:27:57","2021-06-07 21:27:57","2021-06-07 21:27:56","","","","","","Res. Biomed. Eng.","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Asus\Zotero\storage\63X5QSJQ\Srivatsan et al. - 2020 - Machine learning based prognostic model and mobile.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCI8FHCG","journalArticle","2020","Hu, Guoqiang; Zhou, Tianyi; Luo, Siwen; Mahini, Reza; Xu, Jing; Chang, Yi; Cong, Fengyu","Assessment of nonnegative matrix factorization algorithms for electroencephalography spectral analysis","BioMedical Engineering OnLine","","1475-925X","10.1186/s12938-020-00796-x","https://doi.org/10.1186/s12938-020-00796-x","Nonnegative matrix factorization (NMF) has been successfully used for electroencephalography (EEG) spectral analysis. Since NMF was proposed in the 1990s, many adaptive algorithms have been developed. However, the performance of their use in EEG data analysis has not been fully compared. Here, we provide a comparison of four NMF algorithms in terms of accuracy of estimation, stability (repeatability of the results) and time complexity of algorithms with simulated data. In the practical application of NMF algorithms, stability plays an important role, which was an emphasis in the comparison. A Hierarchical clustering algorithm was implemented to evaluate the stability of NMF algorithms.","2020-07-31","2021-06-07 21:27:57","2021-06-07 21:27:57","2021-06-07 21:27:57","61","","1","19","","BioMed Eng OnLine","","","","","","","","en","","","","","Springer Link","","","","C:\Users\Asus\Zotero\storage\LPL6TNHL\Hu et al. - 2020 - Assessment of nonnegative matrix factorization alg.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
